sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Fiber_tracts,200,0.758631965799145,0.9133934378623962,0.565,1.0,0.565,0.955,0.8641304347826086,32.050292778015134,35.77096252441406,8.084739017486573,620.7850952148438,2.6662490367889404
C57BL6J-2.036,cellina-ablated,GABAergic neuron_Isocortex,200,0.8294052351308785,0.9169661998748779,0.51,1.0,0.51,0.955,0.5606314202483773,35.33055877685547,43.09448776245117,10.818376064300537,441.9648376464844,3.0446033477783203
C57BL6J-2.036,cellina-ablated,astrocyte_Fiber_tracts,200,0.657577439435986,0.4768676161766052,0.46,0.9239130434782609,0.425,0.85,0.6037498495903387,28.995373916625976,29.783922958374024,6.172273635864258,422.037158203125,3.372451066970825
C57BL6J-2.036,cellina-ablated,astrocyte_Isocortex,200,0.8726303157578941,0.8872662782669067,0.61,1.0,0.61,0.955,0.9540112818920458,29.493169212341307,29.835599517822267,5.489401054382324,197.88931579589843,3.2896599769592285
C57BL6J-2.036,cellina-ablated,endothelial cell_Fiber_tracts,200,0.530999224105349,0.6557648777961731,0.5,0.76,0.38,0.69,0.9539216184618512,29.65328311920166,30.560002517700195,5.548938751220703,210.32215576171876,3.3153505325317383
C57BL6J-2.036,cellina-ablated,endothelial cell_Isocortex,200,0.925305632640816,0.9263415932655334,0.725,1.0,0.725,0.965,0.9215279039423919,31.122259902954102,31.495592498779295,5.315940284729004,116.65652770996094,3.288621187210083
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Fiber_tracts,200,0.7477656941423536,0.7354186177253723,0.29,0.9827586206896551,0.285,0.825,0.35847980252269496,35.2779182434082,46.16813354492187,16.85924711227417,867.2038757324219,3.8733599185943604
C57BL6J-2.036,cellina-ablated,glutamatergic neuron_Isocortex,200,0.8822995574889374,0.8930788040161133,0.405,0.9876543209876543,0.4,0.885,0.023066148534641204,35.72225837707519,48.2203727722168,19.033753967285158,797.5474487304688,4.038388252258301
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Fiber_tracts,200,0.6675421885547139,0.7042596936225891,0.36,0.9027777777777778,0.325,0.81,0.7081860503459224,27.586939430236818,27.98917579650879,6.943939304351806,162.64638061523436,3.6280462741851807
C57BL6J-2.036,cellina-ablated,oligodendrocyte_Isocortex,200,0.7586469661741545,0.529488205909729,0.55,0.9454545454545454,0.52,0.87,0.8233742124729415,27.174510955810547,27.812765502929686,5.457126045227051,106.73204345703125,3.6549172401428223
